name,year,wins,losses,ot_losses,pct,gf,ga,diff
Mighty Ducks of Anaheim,1999,34,33,3,0.415,217,227,-10
Atlanta Thrashers,1999,14,57,4,0.171,170,313,-143
Boston Bruins,1999,24,33,6,0.293,210,248,-38
Buffalo Sabres,1999,35,32,4,0.427,213,204,9
Calgary Flames,1999,31,36,5,0.378,211,256,-45
Carolina Hurricanes,1999,37,35,0,0.451,217,216,1
Chicago Blackhawks,1999,33,37,2,0.402,242,245,-3
Colorado Avalanche,1999,42,28,1,0.512,233,201,32
Dallas Stars,1999,43,23,6,0.524,211,184,27
Detroit Red Wings,1999,48,22,2,0.585,278,210,68
Edmonton Oilers,1999,32,26,8,0.39,226,212,14
Florida Panthers,1999,43,27,6,0.524,244,209,35
Los Angeles Kings,1999,39,27,4,0.476,245,228,17
Montreal Canadiens,1999,35,34,4,0.427,196,194,2
Nashville Predators,1999,28,40,7,0.341,199,240,-41
New Jersey Devils,1999,45,24,5,0.549,251,203,48
New York Islanders,1999,24,48,1,0.293,194,275,-81
New York Rangers,1999,29,38,3,0.354,218,246,-28
Ottawa Senators,1999,41,28,2,0.5,244,210,34
Philadelphia Flyers,1999,45,22,3,0.549,237,179,58
Phoenix Coyotes,1999,39,31,4,0.476,232,228,4
Pittsburgh Penguins,1999,37,31,6,0.451,241,236,5
San Jose Sharks,1999,35,30,7,0.427,225,214,11
St. Louis Blues,1999,51,19,1,0.622,248,165,83
Tampa Bay Lightning,1999,19,47,7,0.232,204,310,-106
Toronto Maple Leafs,1999,45,27,3,0.549,246,222,24
Vancouver Canucks,1999,30,29,8,0.366,227,237,-10
Washington Capitals,1999,44,24,2,0.537,227,194,33
Mighty Ducks of Anaheim,2000,25,41,5,0.305,188,245,-57
Atlanta Thrashers,2000,23,45,2,0.28,211,289,-78
Boston Bruins,2000,36,30,8,0.439,227,249,-22
Buffalo Sabres,2000,46,30,1,0.561,218,184,34
Calgary Flames,2000,27,36,4,0.329,197,236,-39
Carolina Hurricanes,2000,38,32,3,0.463,212,225,-13
Columbus Blue Jackets,2000,28,39,6,0.341,190,233,-43
Chicago Blackhawks,2000,29,40,5,0.354,210,246,-36
Colorado Avalanche,2000,52,16,4,0.634,270,192,78
Dallas Stars,2000,48,24,2,0.585,241,187,54
Detroit Red Wings,2000,49,20,4,0.598,253,202,51
Edmonton Oilers,2000,39,28,3,0.476,243,222,21
Florida Panthers,2000,22,38,9,0.268,200,246,-46
Los Angeles Kings,2000,38,28,3,0.463,252,228,24
Minnesota Wild,2000,25,39,5,0.305,168,210,-42
Montreal Canadiens,2000,28,40,6,0.341,206,232,-26
Nashville Predators,2000,34,36,3,0.415,186,200,-14
New Jersey Devils,2000,48,19,3,0.585,295,195,100
New York Islanders,2000,21,51,3,0.256,185,268,-83
New York Rangers,2000,33,43,1,0.402,250,290,-40
Ottawa Senators,2000,48,21,4,0.585,274,205,69
Philadelphia Flyers,2000,43,25,3,0.524,240,207,33
Phoenix Coyotes,2000,35,27,3,0.427,214,212,2
Pittsburgh Penguins,2000,42,28,3,0.512,281,256,25
San Jose Sharks,2000,40,27,3,0.488,217,192,25
St. Louis Blues,2000,43,22,5,0.524,249,195,54
Tampa Bay Lightning,2000,24,47,5,0.293,201,280,-79
Toronto Maple Leafs,2000,37,29,5,0.451,232,207,25
Vancouver Canucks,2000,36,28,7,0.439,239,238,1
Washington Capitals,2000,41,27,4,0.5,233,211,22
Mighty Ducks of Anaheim,2001,29,42,3,0.354,175,198,-23
Atlanta Thrashers,2001,19,47,5,0.232,187,288,-101
Boston Bruins,2001,43,24,9,0.524,236,201,35
Buffalo Sabres,2001,35,35,1,0.427,213,200,13
